bulan,kab,premium,medium ,total
Juni 25,[3211] SUMEDANG,,13.633,13.633
Juni 25,[3212] INDRAMAYU,13.642,12.950,13.365
Juni 25,[3213] SUBANG,12.667,,12.667
Juni 25,[3214] PURWAKARTA,12.000,,12.000
Juni 25,[3215] KARAWANG,12.900,13.167,12.989
Juni 25,[3216] BEKASI,12.700,13.060,13.000
Juni 25,[3217] BANDUNG BARAT,13.250,,13.250
Juni 25,[3218] PANGANDARAN,,12.500,12.500
Juli 25,[3201] BOGOR,12600,12500,12571
Juli 25,[3202] SUKABUMI,,13800,13800
Juli 25,[3203] CIANJUR,,13950,13950
Juli 25,[3204] BANDUNG,15000,14433,14717
Juli 25,[3205] GARUT,14000,,14000
Juli 25,[3206] TASIKMALAYA,13933,14100,14038
Juli 25,[3207] CIAMIS,12225,13200,12875
Juli 25,[3208] KUNINGAN,13414,,13414
Juli 25,[3209] CIREBON,12700,13520,13110
Juli 25,[3210] MAJALENGKA,12500,14000,12667
Juli 25,[3211] SUMEDANG,,14250,14250
Juli 25,[3212] INDRAMAYU,13460,14160,13810
Juli 25,[3213] SUBANG,12667,,12667
Juli 25,[3214] PURWAKARTA,13400,,13400
Juli 25,[3215] KARAWANG,13183,13700,13356
Juli 25,[3216] BEKASI,12500,13180,13067
Juli 25,[3217] BANDUNG BARAT,13250,,13250
Juli 25,[3218] PANGANDARAN,,13000,13000
